ENUM STRING	VALUE	Matlab Accessor
'H5T_NATIVE_UINT_LEAST8'	-1	
'H5T_NATIVE_ULLONG'	50331673	
'H5T_NATIVE_ULONG'	50331663	
'H5T_NATIVE_USHORT'	50331659	
'H5T_NCLASSES'	11	
'H5T_NCSET'	2	
'H5T_NORM_ERROR'	-1	
'H5T_NORM_IMPLIED'	0	
'H5T_NORM_MSBSET'	1	
'H5T_NORM_NONE'	2	
'H5T_NO_CLASS'	-1	
'H5T_NPAD'	3	
'H5T_NSGN'	2	
'H5T_NSTR'	3	
'H5T_OPAQUE'	5	
'H5T_OPAQUE_TAG_MAX'	256	
'H5T_ORDER_BE'	1	
'H5T_ORDER_ERROR'	-1	
'H5T_ORDER_LE'	0	
'H5T_ORDER_NONE'	4	
'H5T_ORDER_VAX'	2	
'H5T_PAD_BACKGROUND'	2	
'H5T_PAD_ERROR'	-1	
'H5T_PAD_ONE'	1	
'H5T_PAD_ZERO'	0	
'H5T_PERS_DONTCARE'	-1	
'H5T_PERS_HARD'	0	
'H5T_PERS_SOFT'	1	
'H5T_REFERENCE'	7	
'H5T_SGN_2'	1	
'H5T_SGN_ERROR'	-1	
'H5T_SGN_NONE'	0	
'H5T_STD_B16BE'	50331711	
'H5T_STD_B16LE'	50331710	
'H5T_STD_B32BE'	50331713	
'H5T_STD_B32LE'	50331712	
'H5T_STD_B64BE'	50331715	
'H5T_STD_B64LE'	50331714	
'H5T_STD_B8BE'	50331709	
'H5T_STD_B8LE'	50331708	
'H5T_STD_I16BE'	50331695	
'H5T_STD_I16LE'	50331694	
'H5T_STD_I32BE'	50331697	
'H5T_STD_I32LE'	50331696	
'H5T_STD_I64BE'	50331699	
'H5T_STD_I64LE'	50331698	
'H5T_STD_I8BE'	50331693	
'H5T_STD_I8LE'	50331692	
'H5T_STD_REF_DSETREG'	50331724	
'H5T_STD_REF_OBJ'	50331723	
'H5T_STD_U16BE'	50331703	
'H5T_STD_U16LE'	50331702	
'H5T_STD_U32BE'	50331705	
'H5T_STD_U32LE'	50331704	
'H5T_STD_U64BE'	50331707	
'H5T_STD_U64LE'	50331706	
'H5T_STD_U8BE'	50331701	
'H5T_STD_U8LE'	50331700	
'H5T_STRING'	3	
'H5T_STR_ERROR'	-1	
'H5T_STR_NULLPAD'	1	
'H5T_STR_NULLTERM'	0	
'H5T_STR_RESERVED_10'	10	
'H5T_STR_RESERVED_11'	11	
'H5T_STR_RESERVED_12'	12	
'H5T_STR_RESERVED_13'	13	
'H5T_STR_RESERVED_14'	14	
'H5T_STR_RESERVED_15'	15	
'H5T_STR_RESERVED_3'	3	
'H5T_STR_RESERVED_4'	4	
'H5T_STR_RESERVED_5'	5	
'H5T_STR_RESERVED_6'	6	
'H5T_STR_RESERVED_7'	7	
'H5T_STR_RESERVED_8'	8	
'H5T_STR_RESERVED_9'	9	
'H5T_STR_SPACEPAD'	2	
'H5T_TIME'	2	
'H5T_UNIX_D32BE'	50331717	
'H5T_UNIX_D32LE'	50331716	
'H5T_UNIX_D64BE'	50331719	
'H5T_UNIX_D64LE'	50331718	
'H5T_VARIABLE'	4294967295	
'H5T_VLEN'	9	
'H5Z_CB_CONT'	1	
'H5Z_CB_ERROR'	-1	
'H5Z_CB_FAIL'	0	
'H5Z_CB_NO'	2	
'H5Z_DISABLE_EDC'	0	
'H5Z_ENABLE_EDC'	1	
'H5Z_ERROR_EDC'	-1	
'H5Z_FILTER_ALL'	0	
'H5Z_FILTER_CONFIG_DECODE_ENABLED'	2	
'H5Z_FILTER_CONFIG_ENCODE_ENABLED'	1	
'H5Z_FILTER_DEFLATE'	1	
'H5Z_FILTER_ERROR'	-1	
'H5Z_FILTER_FLETCHER32'	3	
'H5Z_FILTER_MAX'	65535	
'H5Z_FILTER_NBIT'	5	
'H5Z_FILTER_NONE'	0	
'H5Z_FILTER_RESERVED'	256	
'H5Z_FILTER_SCALEOFFSET'	6	
'H5Z_FILTER_SHUFFLE'	2	
'H5Z_FILTER_SZIP'	4	
'H5Z_FLAG_DEFMASK'	255	
'H5Z_FLAG_INVMASK'	65280	
'H5Z_FLAG_MANDATORY'	0	
'H5Z_FLAG_OPTIONAL'	1	
'H5Z_FLAG_REVERSE'	256	
'H5Z_FLAG_SKIP_EDC'	512	
'H5Z_MAX_NFILTERS'	32	
'H5Z_NO_EDC'	2	
'H5Z_SO_FLOAT_DSCALE'	0	
'H5Z_SO_FLOAT_ESCALE'	1	
'H5Z_SO_INT'	2	
'H5Z_SO_INT_MINBITS_DEFAULT'	2	
'H5_HAVE_DIFFTIME'	1	
'H5_HAVE_FILTER_DEFLATE'	1	
'H5_HAVE_FILTER_FLETCHER32'	1	
'H5_HAVE_FILTER_SHUFFLE'	1	
'H5_HAVE_FORK'	0	
'H5_HAVE_GETHOSTNAME'	1	
'H5_HAVE_IOCTL'	0	
'H5_HAVE_LONGJMP'	1	
'H5_HAVE_SIGACTION'	0	
'H5_HAVE_SIGNAL'	1	
'H5_HAVE_STDDEF_H'	1	
'H5_HAVE_STRDUP'	1	
'H5_HAVE_SYSTEM'	1	
'H5_HAVE_SYS_STAT_H'	1	
'H5_HAVE_SYS_TYPES_H'	1	
'H5_HAVE_VFL'	1	
'H5_HAVE_ZLIB_H'	1	
'H5_SIZEOF_CHAR'	1	
'H5_SIZEOF_DOUBLE'	8	
'H5_SIZEOF_FLOAT'	4	
'H5_SIZEOF_HADDR_T'	8	
'H5_SIZEOF_HSIZE_T'	8	
'H5_SIZEOF_INT'	4	
'H5_SIZEOF_INT64_T'	8	
'H5_SIZEOF_LONG'	4	
'H5_SIZEOF_LONG_DOUBLE'	8	
'H5_SIZEOF_LONG_LONG'	8	
'H5_SIZEOF_OFF_T'	4	
'H5_SIZEOF_SHORT'	2	
'H5_SIZEOF_SIZE_T'	4	
'H5_SIZEOF_SSIZE_T'	4	
'H5_SIZEOF_UINT32_T'	4	
'H5_SIZEOF_UINT64_T'	8	
'H5_SIZEOF___INT64'	8	
'H5_STDC_HEADERS'	1	
'H5_SZIP_ALLOW_K13_OPTION_MASK'	1	
'H5_SZIP_CHIP_OPTION_MASK'	2	
'H5_SZIP_EC_OPTION_MASK'	4	
'H5_SZIP_MAX_PIXELS_PER_BLOCK'	32	
'H5_SZIP_NN_OPTION_MASK'	32	
'H5_VERS_MAJOR'	1	
'H5_VERS_MINOR'	8	
'H5_VERS_RELEASE'	6	
'HADDR_MAX'	-2	
'HADDR_UNDEF'	-1	
